File,name,Landing,ID,site,WW20,ICOS,lat,lon,Country,start_year,elevation,climate,ecosystem,MAT.x,MAT.y,MAP.y,MAP.x,MASW,slope,long_name,network,comment
FLX_DE-HoH_FLUXNET2015_FULLSET_2015-2020_beta-3.zip,10.18160/RRBD-7EME,https:/meta.icos-cp.eu/resources/stations/ES_DE-HoH,56,DE-HoH,yes,yes,52.0866,11.2224,DE,2015,193,NA,DBF,NA,9.1,563,NA,NA,flat,Hohes Holz,ICOS_1,"alluvial forest, mostly beech & oak"
NA,NA,http://meta.icos-cp.eu/resources/stations/ES_DE-Har,100,DE-Har,no,yes,47.933,7.5981,,,,,,,,,,,,,,
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2020_beta-3.zip,10.18160/CR66-PJ24,https:/meta.icos-cp.eu/resources/stations/ES_DE-Hai,55,DE-Hai,yes,yes,51.0794,10.4521,DE,2000,438,NA,DBF,NA,8.34,744,NA,NA,gentle,Hainich,ICOS_a.,"protected old-growth forest, mostly beech & ash"
NA,NA,http://meta.icos-cp.eu/resources/stations/ES_DE-Gwg,101,DE-Gwg,no,yes,47.5708,11.0326,,,,,,,,,,,,,,
NA,NA,http://meta.icos-cp.eu/resources/stations/ES_DE-GsB,102,DE-GsB,no,yes,52.0296,11.1048,,,,,,,,,,,,,,
FLX_DE-Gri_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,10.18160/A4NW-3VE1,https:/meta.icos-cp.eu/resources/stations/ES_DE-Gri,25,DE-Gri,yes,yes,50.95,13.5126,DE,2004,385,NA,GRA,NA,7.8,901,NA,NA,flat,Grillenburg,ICOS_a.,extensive mgmt
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2020_beta-3.zip,10.18160/KVAC-KYEX,https:/meta.icos-cp.eu/resources/stations/ES_DE-Geb,66,DE-Geb,yes,yes,51.0997,10.9146,DE,2001,162,NA,CRO,NA,8.5,470,NA,NA,flat,Gebesee,ICOS_1,crop rotation
NA,NA,http://meta.icos-cp.eu/resources/stations/ES_DE-Fen,103,DE-Fen,no,yes,47.8329,11.0606,,,,,,,,,,,,,,
NA,NA,http://meta.icos-cp.eu/resources/stations/ES_DE-Brs,104,DE-Brs,no,yes,52.2966,10.4487,,,,,,,,,,,,,,
FLX_DE-Akm_FLUXNET2015_FULLSET_2009-2020_beta-3.zip,10.18160/5ZKC-H1RR,https:/meta.icos-cp.eu/resources/stations/ES_DE-Akm,3,DE-Akm,yes,yes,53.8662,13.6834,DE,2009,-1,NA,WET,NA,8.7,558,NA,NA,flat,Anklam,none,Peene valley fen
FLX_CZ-wet_FLUXNET2015_FULLSET_2006-2020_beta-3.zip,10.18160/ZHF2-E96G,https:/meta.icos-cp.eu/resources/stations/ES_CZ-wet,2,CZ-wet,yes,yes,49.0247,14.7704,CZ,2006,426,NA,WET,NA,7.7,604,NA,NA,flat,Trebon,ICOS_a.,"inundation area, sedges and wetland grasses"
FLX_CZ-Stn_FLUXNET2015_FULLSET_2010-2020_beta-3.zip,10.18160/0JY0-ZCD6,https:/meta.icos-cp.eu/resources/stations/FLUXNET_CZ-Stn,54,CZ-Stn,yes,no,49.036,17.9699,CZ,2010,540,NA,DBF,NA,8.7,685,NA,NA,significant,Stitna,CzeCOS,mature beech forest
FLX_CZ-RAJ_FLUXNET2015_FULLSET_2012-2020_beta-3.zip,10.18160/AAYD-C9FK,https:/meta.icos-cp.eu/resources/stations/FLUXNET_CZ-RAJ,33,CZ-RAJ,yes,no,49.4437,16.6965,CZ,2012,625,NA,ENF,NA,7.1,681,NA,NA,medium,Rajec,CzeCOS,old-growth spruce monoculture (being transformed to near-natural forest)
FLX_CZ-Lnz_FLUXNET2015_FULLSET_2015-2020_beta-3.zip,10.18160/4HZC-4JSG,https:/meta.icos-cp.eu/resources/stations/ES_CZ-Lnz,18,CZ-Lnz,yes,yes,48.6816,16.9463,CZ,2015,150,NA,MF,9.804,9.3,550,518.03,NA,flat,Lanzhot,ICOS_1,"hard-wood floodplain forest, species-rich"
FLX_CZ-KrP_FLUXNET2015_FULLSET_2014-2020_beta-3.zip,10.18160/9A8S-EJVK,https:/meta.icos-cp.eu/resources/stations/FLUXNET_CZ-KrP,65,CZ-KrP,yes,no,49.5733,15.0788,CZ,NA,534,NA,CRO,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLX_CZ-BK1_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,10.18160/2X51-1SD0,https:/meta.icos-cp.eu/resources/stations/ES_CZ-BK1,32,CZ-BK1,yes,yes,49.5021,18.5369,CZ,2004,875,NA,ENF,6.29,6.7,1316,1338.12,145.1,strong,Bily Kriz forest,ICOS_2,99% norway spruce
FLX_CH-Oe2_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,10.18160/1Y8J-NKQ3,https:/meta.icos-cp.eu/resources/stations/FLUXNET_CH-Oe2,64,CH-Oe2,yes,no,47.2864,7.7337,CH,2004,452,NA,CRO,NA,9.8,1155,NA,NA,flat,Oensingen 2,CarboEurope,intensive crop rotation
FLX_CH-Lae_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,10.18160/51Z6-S5XF,https:/meta.icos-cp.eu/resources/stations/FLUXNET_CH-Lae,17,CH-Lae,yes,no,47.4783,8.3644,CH,2004,689,NA,MF,NA,8.3,1100,NA,NA,strong,Lägeren,CarboEurope,"diverse, managed forest, dominated by beech & fir"
FLX_CH-Fru_FLUXNET2015_FULLSET_2005-2020_beta-3.zip,10.18160/4SAX-0ZYA,https:/meta.icos-cp.eu/resources/stations/FLUXNET_CH-Fru,24,CH-Fru,yes,no,47.1158,8.5378,CH,2005,982,NA,GRA,NA,7.2,1651,NA,NA,hilltop,Früebüel,CarboExtreme,"moderately intensive mgmt (2 cuts/y, grazing in fall)"
FLX_CH-Dav_FLUXNET2015_FULLSET_1997-2020_beta-3.zip,10.18160/1JA9-VJEV,https:/meta.icos-cp.eu/resources/stations/ES_CH-Dav,31,CH-Dav,yes,yes,46.8153,9.8559,CH,1997,1639,Subacrtic (Dfc),ENF,4.1,2.8,1062,833,151,significant,Davos,ICOS_1,"mostly norway spruce (LAI ~3.9, little thinning)"
FLX_CH-Cha_FLUXNET2015_FULLSET_2005-2020_beta-3.zip,10.18160/V5RX-VAWY,https:/meta.icos-cp.eu/resources/stations/FLUXNET_CH-Cha,23,CH-Cha,yes,no,47.2102,8.4104,CH,2005,393,NA,GRA,NA,9.5,1136,NA,NA,flat,Chamau,CarboExtreme,intesive mgmt (6 cuts/y)
FLX_CH-Aws_FLUXNET2015_FULLSET_2006-2020_beta-3.zip,10.18160/ASYZ-4T3X,https:/meta.icos-cp.eu/resources/stations/FLUXNET_CH-Aws,22,CH-Aws,yes,no,46.5832,9.7904,CH,2010,1978,NA,GRA,NA,2.3,918,NA,NA,gentle,Alp Weissenstein,CarboExtreme,extensive mgmt (grazed)
FLX_BE-Vie_FLUXNET2015_FULLSET_1996-2020_beta-3.zip,10.18160/DF9X-QMRK,https:/meta.icos-cp.eu/resources/stations/ES_BE-Vie,16,BE-Vie,yes,yes,50.3049,5.9981,BE,1996,493,Oceanic subtropical highland (Cfb),MF,8.2,7.8,1062,915.6,96.4,medium,Vielsalm,ICOS_2,"mainly beech & douglas fir, thinned every 6y"
FLX_BE-Maa_FLUXNET2015_FULLSET_2016-2020_beta-3.zip,10.18160/DZGF-E5WW,https:/meta.icos-cp.eu/resources/stations/ES_BE-Maa,62,BE-Maa,yes,yes,50.9799,5.6319,BE,2020,87,Oceanic subtropical highland (Cfb),CSH,10.3,10.3,839,839.1,116.7,gentle,Maasmechelen,ICOS_2,400ha heathland dominated by Calluna vulgaris L.
FLX_BE-Lon_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,10.18160/46P3-WT1D,https:/meta.icos-cp.eu/resources/stations/ES_BE-Lon,63,BE-Lon,yes,yes,50.5516,4.7462,BE,2004,167,Oceanic subtropical highland (Cfb),CRO,10.2,10,800,742.6,110.2,gentle,Lonzee,ICOS_2,"4y rotation (sugarbeet, winter wheat, potato, winter wheat)"
